# Accelerometer Data File
# Started @Sun Jul 17 23:10:45 CEST 2016
#
#
# sensor Vendor: STMicroelectronics
# sensor Name: 3-axis Accelerometer sensor
# sensor Resolution: 0.009576807m/sec^2; Max Range: 39.2266; Min Delay: 10000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:UI
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
-1.063 7.307 8.628 20
-0.526 6.751 9.701 20
-0.296 5.975 10.218 20
-0.89 5.956 9.72 20
-1.589 6.1 9.538 20
-1.838 6.11 9.864 20
-1.312 5.535 10.007 20
-0.603 4.75 9.595 40
-0.363 4.414 8.992 21
-0.316 4.328 8.226 19
-0.268 4.299 7.785 20
-0.402 4.367 7.479 20
-0.555 4.616 7.077 20
-0.507 4.692 7.259 20
-0.392 4.836 7.153 20
-0.306 5.114 7.086 20
-0.239 5.439 7.23 20
-0.153 5.631 7.785 20
-0.067 5.679 8.542 20
0.095 5.573 9.27 20
0.354 5.43 9.835 20
0.325 5.458 9.548 20
0.258 5.554 8.801 20
0.239 5.612 8.59 20
0.268 5.755 8.686 20
0.287 5.975 9.011 20
0.392 6.11 9.5 20
0.938 5.726 9.806 20
1.13 5.573 8.916 20
0.957 5.841 7.987 20
0.881 5.937 8.944 20
1.264 5.544 11.118 20
1.896 4.587 12.229 20
1.857 4.242 11.061 20
1.321 4.338 9.241 20
1.005 4.395 8.504 20
0.967 4.242 8.312 20
1.072 4.089 7.929 20
1.101 3.926 7.68 20
1.11 3.878 7.833 20
1.139 3.859 7.68 20
1.101 3.993 7.45 20
1.082 4.175 7.201 20
1.091 4.29 7.335 20
1.225 4.51 7.546 20
1.321 4.73 7.814 20
1.484 4.836 7.718 20
1.599 5.228 7.584 20
1.934 5.468 7.738 40
2.461 5.315 7.967 20
2.729 5.133 7.852 20
2.288 5.621 7.594 20
1.934 6.042 7.671 20
1.312 6.387 9.212 70
1.235 6.397 9.318 21
0.928 6.358 9.088 19
0.545 6.301 8.283 20
0.239 6.272 7.757 20
0.162 6.004 8.111 20
0.248 5.382 8.877 20
0.124 4.999 8.81 20
-0.383 4.865 8.255 20
-0.881 5.046 7.728 40
-1.082 5.075 7.661 20
-0.823 5.018 7.814 20
-0.268 4.663 8.034 20
-0.038 4.529 8.044 20
0.057 4.299 7.422 20
-0.028 4.194 6.665 20
-0.095 4.204 6.291 20
-0.143 4.28 6.272 20
-0.229 4.242 6.636 20
-0.488 4.271 7.01 21
